userName,score,at,content
Lavina Mutia Dewi,5,2024-11-13 04:25:38,Bagus bagus
Nora Alvatra,4,2024-11-05 04:48:20,bermanfaat
Najwa Abel Swastika,2,2024-10-01 10:20:37,Kenapa di punyaku gak ada fitur permohonan surat padahal harusnya ada
Asteen Retno Mukti,5,2024-09-30 08:30:26,Terbaik
Mas Widodo,3,2024-09-28 11:05:52,Klu akses sikadu dr aplikasi malah blum bisa ya?
Suryana,3,2024-09-17 17:00:40,"Masih banyak bug, terutama kalau mau bikin kartu laporan. Sementara bintang 3 dulu, kalau dibenerin saya naikin."
Ahmad Muyaqi,4,2024-09-12 01:59:20,"Aplikasi sudah cukup bagus, hanya saja fitur yang ada di aplikasi belum sepenuhnya meng-cover fitur-fitur yang ada di website. Mungkin alangkah bagus lagi apabila seluruh fitur di website bisa jadi satu dalam aplikasi."
Kazuma Sama,4,2024-09-06 01:06:16,"Fitur² yang sudah cukup bermanfaat, namun perlu ditambahkan fitur² yang lebih detail untuk informasi perkuliahan dan lain²"
alif tegar,5,2024-09-05 12:00:52,"sudah bagus, mungkin bisa dikembangkan fiturnya seperti penggunaan sikadu atau fitur yang ada di apps unnes lainnya bisa digunakan di aplikasi my unnes"
R E Z Q I,1,2024-09-05 08:17:17,eror ga bisa absen
Ali Abdul Rozak,5,2024-09-05 05:39:05,Good
Aries Sukma 15,4,2024-09-05 04:02:58,untuk pemakaian dan tampilan sudah cukup bagus tapi beberapa fitur seperti pemesanan tiket ALT terkadang masih mengalami atau null. semoga kedepannya fitur yang masih berkendala bisa diperbaiki
Istifar Riyanti,3,2024-09-05 03:51:42,"Aplikasinya sudah bagus tampilannya juga sudah mudah dipahami, tapi fitur yang tersedia sudah ada sebelumnya seperti jadwal sudah ada di telegram. Lebih baik lagi jika menambahkan fitur seperti di sikadu seperti validasi kuliah itu akan lebih membuat aplikasi ini lebih bermanfaat setiap harinya."
Setya Budi Arif Prabowo,4,2024-09-04 09:20:40,"Pengalaman selama menggunakan aplikasi myUNNES ini dari segi tampilan sudah cukup oke dari versi sebelum2nya, kemudian ketika dijalankan pada versi android Nougat sangat lancar tidak ada crash maupun force close, its good. Untuk buttonnya juga berfungsi dengan baik, tidak ada masalah. Namun, sayangnya fitur yang ada hingga saat ini masih sedikit, jadi saran saya jika memungkinkan untuk update kedepan dapat ditambahkan fitur-fitur yang sering diakses yang ada pada web aplikasi UNNES. Terima kasih"
Lala lala,4,2024-09-04 08:12:06,"Sudah bagus, namun fitur-fitur masih sedikit, perlu dikembangkan untuk bisa terintegrasi dengan website agar memudahkan saat akses sikadu, elena, dll bisa lewat aplikasi ini sekaligus tanpa harus bolak balik ke website."
Yogi Saputra,4,2024-09-04 02:24:59,"Kurang banyak fitur sih, mungkin bisa lebih diperbanyak lagi agar sama seperti versi web"
Dio Puja Andika,5,2024-09-04 02:04:56,Mempermudah fleksibelitas perkuliahan Saya. Tapi kerap membuat layanan tiket kerapa error 302.
Muhamad Sukron,2,2024-09-04 01:57:40,fiturnya sama aja kya bot tele. kalau sudh bisa buka sikadu elena dll nanti tak kasih bintang 5.
Phoenix,4,2024-09-03 01:35:23,Aplikasi ini mempermudah akses beberapa fitur yang berguna untuk perkuliahan dibandinkan harus membuka via web. Namun sayangnya fitur yang ada masih sangat sedikit
Tammarizqi Arsyinta Putrie,4,2024-09-03 01:02:46,"apresiasi untuk pembuatan aplikasi ini, harapannya apps ini bisa dikembangkan lagi biar buka sikadu dan apps lain gaperlu lewat web"
Rafli Hs,4,2024-09-03 00:52:12,"Aplikasi yang mendukung untu kegiatan kuliah, tetapi apabila fiturmya disamakan dgn apps unnes yang website lebih baik"
138_Guntur Prastyo,1,2024-09-02 02:41:29,"Tolong di tambahkan fitur scan presensi, sehingga tidak usah login lewat website"
syabib aghniya,1,2024-08-28 14:37:09,Setuju banget sama rekan rekan bintang 1
Pak Arif,5,2024-08-26 10:27:29,Sangat membantu
Zahwa Ahdi,5,2024-08-08 03:26:10,👍🏻
Davina Rachma,1,2024-08-06 22:33:53,"layanan alt error"" trs"
sum irah,5,2024-08-05 03:55:54,UNNES luar biasa maju terus sukses selalu
Wisnu Prakoso,3,2024-07-30 03:11:54,"Apps ini sangat tak rekomen ketika meminta aduan ke ALT, saya sudah mencobanya beberapa kali tetapi hasilnya error null, entah kenapa bisa seperti ini Kembalikan update pembuatan tiket ALT UNNES 2023, tahun kemarin lebih mudah karena dijawab langsung oleh operator manusia drpd operator AI"
kwweb kwweb,5,2024-07-28 11:27:44,Good
Anwar willy andhika,1,2024-07-28 02:50:56,"Halo bapak/ ibu admin. Tolong pembayaran lewat bank mandiri segera diperbaiki ( saya terpaksa.buat tiket disini karena kalian memblokir layanan pengaduan. Mending buat website aja, nggak usah buat aplikasi kalau tidak dikelola."
Ilham Khoiru Sholihin,1,2024-07-24 03:12:09,"Bubar Aja Ini UNNES, Menyusahkan Masyarakat dan Negara Saja kalian UNNES"
M. Amran Abdu Rosyid,1,2024-07-06 04:53:21,"Buruk, saya tidak tau manfaat menginstal my unnes itu apa. Menurut saya my unnes ini harus terintegrasi dengan app unnes dan sikadu agar apa apa tidak harus buka laptop terlebih dahulu. Sekian"
Arsy Nur Afifah,1,2024-07-02 08:53:34,Gimana sih error trs
Budi Diyanto,5,2024-05-27 04:18:01,Good
Misaka Mikoto,1,2024-03-24 01:00:44,Error mulu
Totok Indra,5,2024-03-06 12:41:04,Respon sangat cepat dan efektif sehingga memudahkan mahasiswa..
TOP Chanel,5,2024-02-29 15:39:52,Bagus
Aris SW,5,2024-02-26 18:12:32,Lancar jaya
JAGAD SEJARAH,3,2024-02-08 09:09:55,"Klo bisa semua administrasi mulai dari kuliah sampe administrasi pembayaran, perpustakaan bisa terintegrasi di my unnes"
Kanwa Fatah,5,2024-02-07 02:59:28,Ok
Ahmad Fauzan,4,2024-02-06 06:01:13,"g bisa copy teks jadi susah klo ada link atau teks yg mau dicopy, tolong bisa diperbaiki lagi"
Damar Prasetyo,5,2024-02-02 13:09:40,mantaap
Nurhasan Ropi`i,5,2024-01-31 10:26:32,Sangat membantu mahasiswa
Isna Ni,5,2024-01-21 14:12:44,Sangat baik
Dheni Anugerah,4,2024-01-16 15:00:35,Semoga semua fitur yang ada di web appunnes bisa dimasukkan juga ke aplikasi myunnes
Nauval zian (Zian),5,2024-01-09 07:35:57,Oke nes
fatimah “77_Fatimah_pend bio_fmipa”,5,2023-12-20 12:28:32,bot telegram unnes terhubung sama my unnes jadi mudah mantaunya meski ndak instal telegram
Ahmad Syai Syai,5,2023-12-13 21:56:48,Mantap....👍🏻👍🏻👍🏻👍🏻
DEA official Dhiemas Edhiet Abimanyu,3,2023-11-29 06:25:02,"Tolong untuk di jadikan menjadi satu antara sikadu, my unnes dll"
Rijal Tri,5,2023-11-23 20:55:27,Proud for My Unnes
Ristawati Albahru,5,2023-11-18 12:33:21,Tampilannya makin bagus
Andre Ahady,3,2023-11-03 13:29:07,"Masukkan untuk UNNES dan mohon untuk didengarkan dan diterapkan, tolong untuk elena, sikadu, dan myunnes student dijadikan satu saja di dalam aplikasi myUNNES, jujur saja untuk validasi, absensi, dan pengumpulan tugas sangat tidak efisien. Karena jika fitur tersebut bisa dimasukan ke dalam myUNNES maka akan lebih efisien, minim error, dan pastinya tidak perlu login lagi setiap ingin membuka elena ataupun sikadu karena itu sangat merepotkan"
Dimas Andhika,1,2023-11-02 08:14:11,"gabisa buat presensi, gabisa buat validasi, gabisa buat ngumpulin tugas"
